dir,method,pesq_nb,pesq_wb,stoi,snr_db,samples
/tmp/hrmat/clean,our_enc_our_dec,2.786,2.507,0.898,-2.65,240000
/tmp/hrmat/clean,our_enc_chip_dec,2.860,2.411,0.890,-2.05,240000
/tmp/hrmat/clean,chip_enc_our_dec,2.673,2.329,0.898,-2.92,240000
/tmp/hrmat/clean,chip_enc_chip_dec,3.047,2.647,0.887,-3.00,240000
/tmp/hrmat/dam,our_enc_our_dec,3.104,2.697,0.909,-2.24,203840
/tmp/hrmat/dam,our_enc_chip_dec,3.187,2.633,0.865,-2.56,203840
/tmp/hrmat/dam,chip_enc_our_dec,3.071,2.677,0.875,-2.98,203840
/tmp/hrmat/dam,chip_enc_chip_dec,3.369,2.863,0.859,-3.55,203840
/tmp/hrmat/fambf22c,our_enc_our_dec,2.603,2.095,0.857,-1.74,240000
/tmp/hrmat/fambf22c,our_enc_chip_dec,2.683,2.007,0.857,-2.02,240000
/tmp/hrmat/fambf22c,chip_enc_our_dec,2.667,2.191,0.836,-2.95,240000
/tmp/hrmat/fambf22c,chip_enc_chip_dec,3.145,2.394,0.855,-3.39,240000
/tmp/hrmat/fambm22a,our_enc_our_dec,2.624,2.265,0.888,-2.47,240000
/tmp/hrmat/fambm22a,our_enc_chip_dec,2.755,2.257,0.821,-2.20,240000
/tmp/hrmat/fambm22a,chip_enc_our_dec,2.621,2.173,0.827,-3.08,240000
/tmp/hrmat/fambm22a,chip_enc_chip_dec,2.971,2.324,0.870,-2.69,240000
/tmp/hrmat/tambf22a,our_enc_our_dec,2.597,2.210,0.801,-2.15,240000
/tmp/hrmat/tambf22a,our_enc_chip_dec,2.760,2.114,0.785,-2.35,240000
/tmp/hrmat/tambf22a,chip_enc_our_dec,2.526,2.060,0.870,-2.21,240000
/tmp/hrmat/tambf22a,chip_enc_chip_dec,2.951,2.365,0.865,-3.21,240000
/tmp/hrmat/tambf32b,our_enc_our_dec,2.803,2.336,0.903,-2.26,240000
/tmp/hrmat/tambf32b,our_enc_chip_dec,2.899,2.271,0.876,-2.14,240000
/tmp/hrmat/tambf32b,chip_enc_our_dec,2.660,2.187,0.903,-2.53,240000
/tmp/hrmat/tambf32b,chip_enc_chip_dec,3.015,2.414,0.910,-3.09,240000
