dir,method,pesq_nb,stoi,snr_db,samples
/tmp/hr_matrix_2026-05-31/clean,our_enc_our_dec,2.916,0.841,-2.36,591840
/tmp/hr_matrix_2026-05-31/clean,our_enc_chip_dec,3.001,0.877,-2.44,591840
/tmp/hr_matrix_2026-05-31/clean,chip_enc_our_dec,2.813,0.878,-3.07,591840
/tmp/hr_matrix_2026-05-31/clean,chip_enc_chip_dec,3.188,0.895,-2.90,591840
/tmp/hr_matrix_2026-05-31/dam,our_enc_our_dec,3.104,0.909,-2.24,203840
/tmp/hr_matrix_2026-05-31/dam,our_enc_chip_dec,3.187,0.865,-2.56,203840
/tmp/hr_matrix_2026-05-31/dam,chip_enc_our_dec,3.071,0.875,-2.98,203840
/tmp/hr_matrix_2026-05-31/dam,chip_enc_chip_dec,3.369,0.859,-3.55,203840
/tmp/hr_matrix_2026-05-31/mark,our_enc_our_dec,2.457,0.863,-2.54,147360
/tmp/hr_matrix_2026-05-31/mark,our_enc_chip_dec,2.509,0.863,-2.77,147360
/tmp/hr_matrix_2026-05-31/mark,chip_enc_our_dec,2.443,0.872,-2.53,147360
/tmp/hr_matrix_2026-05-31/mark,chip_enc_chip_dec,2.836,0.836,-3.16,147360
/tmp/hr_matrix_2026-05-31/alert,our_enc_our_dec,2.051,0.403,-0.47,77120
/tmp/hr_matrix_2026-05-31/alert,our_enc_chip_dec,1.970,0.165,-0.24,77120
/tmp/hr_matrix_2026-05-31/alert,chip_enc_our_dec,3.480,0.060,-2.89,77120
/tmp/hr_matrix_2026-05-31/alert,chip_enc_chip_dec,3.690,0.117,-2.90,77120
/tmp/hr_matrix_2026-05-31/knox_1,our_enc_our_dec,1.222,-0.014,-0.16,20000
/tmp/hr_matrix_2026-05-31/knox_1,our_enc_chip_dec,1.416,-0.002,-0.14,20000
/tmp/hr_matrix_2026-05-31/knox_1,chip_enc_our_dec,4.431,0.016,-3.30,20000
/tmp/hr_matrix_2026-05-31/knox_1,chip_enc_chip_dec,4.296,0.011,-3.32,20000
